level,fn,bpp,mse,np
13.00, kodak/kodim20.png, 0.1267, 83.0546, 393216
13.00, kodak/kodim12.png, 0.1089, 84.8089, 393216
13.00, kodak/kodim22.png, 0.1561, 147.4443, 393216
13.00, kodak/kodim19.png, 0.1486, 120.9800, 393216
13.00, kodak/kodim02.png, 0.1112, 103.6495, 393216
13.00, kodak/kodim10.png, 0.1261, 100.4453, 393216
13.00, kodak/kodim05.png, 0.3263, 170.1901, 393216
13.00, kodak/kodim23.png, 0.1077, 66.9702, 393216
13.00, kodak/kodim11.png, 0.1729, 138.8398, 393216
13.00, kodak/kodim24.png, 0.2490, 176.7776, 393216
13.00, kodak/kodim01.png, 0.2645, 177.4771, 393216
13.00, kodak/kodim04.png, 0.1248, 112.3458, 393216
13.00, kodak/kodim14.png, 0.2216, 173.9006, 393216
13.00, kodak/kodim13.png, 0.3926, 260.6386, 393216
13.00, kodak/kodim06.png, 0.2071, 144.5385, 393216
13.00, kodak/kodim16.png, 0.1220, 118.6962, 393216
13.00, kodak/kodim07.png, 0.1524, 93.2572, 393216
14.00, kodak/kodim03.png, 0.1119, 76.3309, 393216
14.00, kodak/kodim08.png, 0.3625, 164.8170, 393216
14.00, kodak/kodim21.png, 0.2142, 122.3622, 393216
14.00, kodak/kodim18.png, 0.2536, 170.8538, 393216
14.00, kodak/kodim15.png, 0.1312, 92.7201, 393216
14.00, kodak/kodim09.png, 0.1295, 81.7170, 393216
14.00, kodak/kodim17.png, 0.1440, 110.0326, 393216
14.00, kodak/kodim20.png, 0.1321, 84.8440, 393216
14.00, kodak/kodim12.png, 0.1133, 87.0463, 393216
14.00, kodak/kodim22.png, 0.1653, 142.4590, 393216
14.00, kodak/kodim19.png, 0.1563, 117.7989, 393216
14.00, kodak/kodim02.png, 0.1172, 96.9408, 393216
14.00, kodak/kodim10.png, 0.1319, 98.2146, 393216
14.00, kodak/kodim05.png, 0.3432, 160.5759, 393216
14.00, kodak/kodim23.png, 0.1118, 66.8521, 393216
14.00, kodak/kodim11.png, 0.1829, 134.2166, 393216
14.00, kodak/kodim24.png, 0.2629, 168.0395, 393216
14.00, kodak/kodim01.png, 0.2816, 169.2551, 393216
14.00, kodak/kodim04.png, 0.1314, 106.8780, 393216
14.00, kodak/kodim14.png, 0.2341, 164.9415, 393216
14.00, kodak/kodim13.png, 0.4169, 247.4743, 393216
14.00, kodak/kodim06.png, 0.2188, 140.6131, 393216
14.00, kodak/kodim16.png, 0.1295, 114.3411, 393216
14.00, kodak/kodim07.png, 0.1598, 89.4176, 393216
15.00, kodak/kodim03.png, 0.1170, 67.9708, 393216
15.00, kodak/kodim08.png, 0.3806, 152.7321, 393216
15.00, kodak/kodim21.png, 0.2261, 110.9295, 393216
15.00, kodak/kodim18.png, 0.2696, 157.9680, 393216
15.00, kodak/kodim15.png, 0.1372, 87.4966, 393216
15.00, kodak/kodim09.png, 0.1361, 71.4363, 393216
15.00, kodak/kodim17.png, 0.1518, 101.1329, 393216
15.00, kodak/kodim20.png, 0.1380, 78.7849, 393216
15.00, kodak/kodim12.png, 0.1186, 78.5095, 393216
15.00, kodak/kodim22.png, 0.1760, 130.7602, 393216
15.00, kodak/kodim19.png, 0.1643, 109.1348, 393216
15.00, kodak/kodim02.png, 0.1226, 94.1251, 393216
15.00, kodak/kodim10.png, 0.1383, 87.5579, 393216
15.00, kodak/kodim05.png, 0.3607, 148.6411, 393216
15.00, kodak/kodim23.png, 0.1162, 59.8587, 393216
15.00, kodak/kodim11.png, 0.1930, 123.9994, 393216
15.00, kodak/kodim24.png, 0.2779, 154.5506, 393216
15.00, kodak/kodim01.png, 0.3015, 156.4778, 393216
15.00, kodak/kodim04.png, 0.1377, 99.3541, 393216
15.00, kodak/kodim14.png, 0.2476, 153.2395, 393216
15.00, kodak/kodim13.png, 0.4428, 230.4000, 393216
15.00, kodak/kodim06.png, 0.2320, 128.7131, 393216
15.00, kodak/kodim16.png, 0.1374, 104.0542, 393216
15.00, kodak/kodim07.png, 0.1669, 80.5786, 393216
16.00, kodak/kodim03.png, 0.1228, 62.5093, 393216
16.00, kodak/kodim08.png, 0.3978, 142.0859, 393216
16.00, kodak/kodim21.png, 0.2375, 102.7810, 393216
16.00, kodak/kodim18.png, 0.2846, 145.9399, 393216
16.00, kodak/kodim15.png, 0.1440, 79.8581, 393216
16.00, kodak/kodim09.png, 0.1424, 64.4258, 393216
16.00, kodak/kodim17.png, 0.1591, 92.9283, 393216
16.00, kodak/kodim20.png, 0.1438, 68.5777, 393216
16.00, kodak/kodim12.png, 0.1247, 70.7589, 393216
16.00, kodak/kodim22.png, 0.1869, 120.4506, 393216
16.00, kodak/kodim19.png, 0.1726, 101.2220, 393216
16.00, kodak/kodim02.png, 0.1278, 87.5967, 393216
16.00, kodak/kodim10.png, 0.1446, 79.5831, 393216
16.00, kodak/kodim05.png, 0.3782, 137.0780, 393216
16.00, kodak/kodim23.png, 0.1210, 54.1684, 393216
16.00, kodak/kodim11.png, 0.2043, 115.3083, 393216
16.00, kodak/kodim24.png, 0.2923, 142.9071, 393216
16.00, kodak/kodim01.png, 0.3195, 146.3092, 393216
16.00, kodak/kodim04.png, 0.1450, 91.0951, 393216
16.00, kodak/kodim14.png, 0.2621, 141.4569, 393216
16.00, kodak/kodim13.png, 0.4686, 214.2386, 393216
16.00, kodak/kodim06.png, 0.2445, 118.0318, 393216
16.00, kodak/kodim16.png, 0.1453, 96.2440, 393216
16.00, kodak/kodim07.png, 0.1749, 72.5083, 393216
17.00, kodak/kodim03.png, 0.1280, 59.2208, 393216
17.00, kodak/kodim08.png, 0.4141, 135.9513, 393216
17.00, kodak/kodim21.png, 0.2493, 98.0138, 393216
17.00, kodak/kodim18.png, 0.2995, 138.4060, 393216
17.00, kodak/kodim15.png, 0.1499, 76.5194, 393216
17.00, kodak/kodim09.png, 0.1474, 60.4448, 393216
17.00, kodak/kodim17.png, 0.1659, 88.8588, 393216
17.00, kodak/kodim20.png, 0.1492, 63.9359, 393216
17.00, kodak/kodim12.png, 0.1287, 67.5272, 393216
17.00, kodak/kodim22.png, 0.1973, 114.0786, 393216
17.00, kodak/kodim19.png, 0.1805, 96.1237, 393216
17.00, kodak/kodim02.png, 0.1338, 85.2049, 393216
17.00, kodak/kodim10.png, 0.1500, 75.0646, 393216
17.00, kodak/kodim05.png, 0.3945, 131.2903, 393216
17.00, kodak/kodim23.png, 0.1248, 51.3955, 393216
17.00, kodak/kodim11.png, 0.2134, 110.8271, 393216
17.00, kodak/kodim24.png, 0.3061, 135.5456, 393216
17.00, kodak/kodim01.png, 0.3386, 139.5800, 393216
17.00, kodak/kodim04.png, 0.1519, 87.1785, 393216
17.00, kodak/kodim14.png, 0.2742, 134.7862, 393216
17.00, kodak/kodim13.png, 0.4952, 202.7257, 393216
17.00, kodak/kodim06.png, 0.2574, 111.5819, 393216
17.00, kodak/kodim16.png, 0.1528, 91.9041, 393216
17.00, kodak/kodim07.png, 0.1817, 68.2077, 393216
18.00, kodak/kodim03.png, 0.1340, 54.1479, 393216
18.00, kodak/kodim08.png, 0.4358, 126.8576, 393216
18.00, kodak/kodim21.png, 0.2636, 90.8647, 393216
18.00, kodak/kodim18.png, 0.3185, 127.0789, 393216
18.00, kodak/kodim15.png, 0.1578, 71.6093, 393216
18.00, kodak/kodim09.png, 0.1544, 55.7855, 393216
18.00, kodak/kodim17.png, 0.1747, 80.7830, 393216
18.00, kodak/kodim20.png, 0.1570, 61.9716, 393216
18.00, kodak/kodim12.png, 0.1355, 63.8682, 393216
18.00, kodak/kodim22.png, 0.2103, 105.7251, 393216
18.00, kodak/kodim19.png, 0.1915, 89.9223, 393216
18.00, kodak/kodim02.png, 0.1412, 81.1983, 393216
18.00, kodak/kodim10.png, 0.1576, 68.5083, 393216
18.00, kodak/kodim05.png, 0.4153, 121.2651, 393216
18.00, kodak/kodim23.png, 0.1298, 48.3157, 393216
18.00, kodak/kodim11.png, 0.2255, 102.4238, 393216
