hash,level,bpp,mse
192032064, 4, 0.7064, 23.3105
192032064, 5, 0.9626, 15.4006
192032064, 6, 1.2749, 10.6099
192032064, 7, 1.6281, 8.0075
192032096, 0, 0.1571, 120.5162
192032096, 1, 0.2319, 84.0258
192032096, 2, 0.3447, 64.9683
192032096, 3, 0.5037, 36.5202
192032096, 4, 0.7064, 22.7594
192032096, 5, 0.9626, 14.8716
192032096, 6, 1.2749, 10.0908
192032096, 7, 1.6281, 7.5468
192032144, 0, 0.1571, 123.4325
192032144, 1, 0.2319, 85.4275
192032144, 2, 0.3447, 65.3774
192032144, 3, 0.5037, 36.6914
192032144, 4, 0.7064, 22.6546
192032144, 5, 0.9626, 14.6844
192032144, 6, 1.2749, 9.8609
192032144, 7, 1.6281, 7.3230
192032256, 0, 0.1571, 125.6469
192032256, 1, 0.2319, 86.2647
192032256, 2, 0.3447, 65.3933
192032256, 3, 0.5037, 36.5449
192032256, 4, 0.7064, 22.4744
192032256, 5, 0.9626, 14.5301
192032256, 6, 1.2749, 9.7202
192032256, 7, 1.6281, 7.1914
192072032, 0, 0.1571, 129.2050
192072032, 1, 0.2319, 91.7289
192072032, 2, 0.3447, 71.6606
192072032, 3, 0.5037, 42.4762
192072032, 4, 0.7064, 27.5544
192072032, 5, 0.9626, 19.1299
192072032, 6, 1.2749, 13.4666
192072032, 7, 1.6281, 10.4480
192072064, 0, 0.1571, 116.5047
192072064, 1, 0.2319, 81.3804
192072064, 2, 0.3447, 63.7546
192072064, 3, 0.5037, 35.7216
192072064, 4, 0.7064, 22.3622
192072064, 5, 0.9626, 14.5664
192072064, 6, 1.2749, 9.8725
192072064, 7, 1.6281, 7.3361
192072096, 0, 0.1571, 120.2502
192072096, 1, 0.2319, 82.7891
192072096, 2, 0.3447, 63.2613
192072096, 3, 0.5037, 35.4670
192072096, 4, 0.7064, 21.9010
192072096, 5, 0.9626, 14.1678
192072096, 6, 1.2749, 9.4501
192072096, 7, 1.6281, 6.9677
192072144, 0, 0.1571, 129.3416
192072144, 1, 0.2319, 87.4365
192072144, 2, 0.3447, 64.5173
192072144, 3, 0.5037, 35.7608
192072144, 4, 0.7064, 21.7268
192072144, 5, 0.9626, 13.9691
192072144, 6, 1.2749, 9.2249
192072144, 7, 1.6281, 6.7716
192072256, 0, 0.1571, 134.4790
192072256, 1, 0.2319, 89.1677
192072256, 2, 0.3447, 64.7654
192072256, 3, 0.5037, 35.6427
192072256, 4, 0.7064, 21.5096
192072256, 5, 0.9626, 13.7564
192072256, 6, 1.2749, 9.0397
192072256, 7, 1.6281, 6.5999
192128032, 0, 0.1571, 128.9105
192128032, 1, 0.2319, 90.0473
192128032, 2, 0.3447, 69.1829
192128032, 3, 0.5037, 39.4983
192128032, 4, 0.7064, 24.3979
192128032, 5, 0.9626, 16.1366
192128032, 6, 1.2749, 10.9167
192128032, 7, 1.6281, 8.2352
192128064, 0, 0.1571, 114.6814
192128064, 1, 0.2319, 79.5947
192128064, 2, 0.3447, 62.4488
192128064, 3, 0.5037, 34.8832
192128064, 4, 0.7064, 21.7333
192128064, 5, 0.9626, 14.0957
192128064, 6, 1.2749, 9.4815
192128064, 7, 1.6281, 6.9910
192128096, 0, 0.1571, 118.3827
192128096, 1, 0.2319, 81.3096
192128096, 2, 0.3447, 62.2134
192128096, 3, 0.5037, 34.8648
192128096, 4, 0.7064, 21.4716
192128096, 5, 0.9626, 13.8639
192128096, 6, 1.2749, 9.2163
192128096, 7, 1.6281, 6.7574
192128144, 0, 0.1571, 129.4270
192128144, 1, 0.2319, 86.7127
192128144, 2, 0.3447, 63.8648
192128144, 3, 0.5037, 35.2681
192128144, 4, 0.7064, 21.3527
192128144, 5, 0.9626, 13.7018
192128144, 6, 1.2749, 9.0430
192128144, 7, 1.6281, 6.6126
192128256, 0, 0.1571, 134.6000
192128256, 1, 0.2319, 88.4236
192128256, 2, 0.3447, 64.1077
192128256, 3, 0.5037, 35.1526
192128256, 4, 0.7064, 21.1480
192128256, 5, 0.9626, 13.5070
192128256, 6, 1.2749, 8.8767
192128256, 7, 1.6281, 6.4642
192168032, 0, 0.1571, 129.3038
192168032, 1, 0.2319, 90.7093
192168032, 2, 0.3447, 69.3227
192168032, 3, 0.5037, 39.6019
192168032, 4, 0.7064, 24.3483
192168032, 5, 0.9626, 16.0608
192168032, 6, 1.2749, 10.7215
192168032, 7, 1.6281, 8.0387
192168064, 0, 0.1571, 114.5922
192168064, 1, 0.2319, 79.4485
192168064, 2, 0.3447, 61.9670
192168064, 3, 0.5037, 34.6203
192168064, 4, 0.7064, 21.5783
